mstrName,component,Cmstr_max,Cmstr_min,Cmstr_any_nan,stabilized_max,stabilized_min,stabilized_any_nan,C_max_after_penalization,C_min_after_penalization,C_any_nan_after_penalization,density_min,density_max,density_mean,mstrType_min,mstrType_max,mstrType_mean
cube,00,1.3075812,0.29495355,False,1.3075812,0.29495355,False,1.2561315,4.3309357e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,11,1.3078061,0.29496163,False,1.3078061,0.29496163,False,1.2563007,4.330562e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,22,1.3079919,0.29496837,False,1.3079919,0.29496837,False,1.2564569,4.3306294e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,01,0.55403006,0.06421813,False,0.55403006,0.06421813,False,0.5243899,1.5324066e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,02,0.554056,0.06421939,False,0.554056,0.06421939,False,0.5244085,1.532335e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,12,0.55412614,0.06422162,False,0.55412614,0.06422162,False,0.5244637,1.5322652e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,44,0.3898518,0.059630685,False,0.3898518,0.059630685,False,0.37249717,1.19127925e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,55,0.38975352,0.05963071,False,0.38975352,0.05963071,False,0.37241137,1.1912221e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
cube,66,0.38981843,0.059632223,False,0.38981843,0.059632223,False,0.3724704,1.1913276e-14,False,0.35778075,0.9951152,0.9153402,2.1745487e-07,0.99993753,0.3977703
Xbox,00,1.293294,0.21008077,False,1.293294,0.21008077,False,1.2561529,4.3579025e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,11,1.2768862,0.20565268,False,1.2768862,0.20565268,False,1.2563218,4.3579486e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,22,1.2881389,0.21008259,False,1.2881389,0.21008259,False,1.2564782,4.357583e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,01,0.5181887,0.06061151,False,0.5181887,0.06061151,False,0.52439845,1.5423606e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,02,0.5195502,0.06784532,False,0.5195502,0.06784532,False,0.52441704,1.54235e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,12,0.51628137,0.06071014,False,0.51628137,0.06071014,False,0.5244722,1.5422175e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,44,0.3721725,0.058117326,False,0.3721725,0.058117326,False,0.3725034,1.19987706e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,55,0.3710984,0.058520388,False,0.3710984,0.058520388,False,0.3724176,1.1998208e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
Xbox,66,0.37231445,0.073023126,False,0.37231445,0.073023126,False,0.37247667,1.2000499e-14,False,0.35778075,0.9951152,0.9153402,1.8369457e-08,0.9790931,0.103443265
XPlusBox,00,1.2865984,0.2530847,False,1.2865984,0.2530847,False,1.2672352,0.24587299,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,11,1.2840049,0.2531848,False,1.2840049,0.2531848,False,1.2647418,0.24597022,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,22,1.2846174,0.25305542,False,1.2846174,0.25305542,False,1.2653233,0.24584457,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,01,0.53695226,0.076919004,False,0.53695226,0.076919004,False,0.5277898,0.07472235,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,02,0.5370997,0.07689878,False,0.5370997,0.07689878,False,0.5279331,0.07470271,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,12,0.53644395,0.07695754,False,0.53644395,0.07695754,False,0.52730304,0.074759774,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,44,0.38885415,0.07612132,False,0.38885415,0.07612132,False,0.3828945,0.07394669,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,55,0.3884049,0.07628383,False,0.3884049,0.07628383,False,0.38246515,0.07410453,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
XPlusBox,66,0.38924146,0.07610821,False,0.38924146,0.07610821,False,0.38326362,0.07393397,False,0.35778075,0.9951152,0.9153402,1.9249278e-07,0.99999976,0.4987865
